review_status,visibility,product_model,product_name,category,file_type,file_name,source_url,pdf_links,image_links,manual_links,description,remarks,visibility_reason,needs_manual_review,suggested_action,human_correct_product_model,human_correct_product_name,human_correct_category,human_visibility_decision,human_notes
,internal_review,SAF1001,AXIAL TAPE FEEDER TEACH DOCUMENTS,smthelp_machine_presentation,pdf,SAF1001 AXIAL TAPE FEEDER TEACH DOCUMENTS.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SAF1001%20AXIAL%20TAPE%20FEEDER%20TEACH%20DOCUMENTS.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SAF1001%20AXIAL%20TAPE%20FEEDER%20TEACH%20DOCUMENTS.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SAF1001%20AXIAL%20TAPE%20FEEDER.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-006 [priority=30] (Teach documents may be internal support material and should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,public,SFY03,Effortless Flexibility for SMT Lines with AGV,smthelp_machine_presentation,pdf,Effortless Flexibility for SMT Lines with SFY03 AGV.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/Effortless%20Flexibility%20for%20SMT%20Lines%20with%20SFY03%20AGV.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/Effortless%20Flexibility%20for%20SMT%20Lines%20with%20SFY03%20AGV.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SFY03%20AGV%20Effortless%20Flexibility%20for%20EMS%20SMT%20Lines.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SFY03_Magnetic_AGV_Technical_Handbook.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SFY03_Route_Programming_Masterclass.pdf.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Grouped 4 sample files under the same product_model + category,Default visibility: public,no,Verify and approve,,,,,
,internal_review,SME-5200,Pallet (Fixture) Cleaning Machine Performance Validation Report,smthelp_machine_presentation,pdf,SME-5200 Pallet (Fixture) Cleaning Machine_Performance_Validation_Report.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SME-5200%20Pallet%20(Fixture)%20Cleaning%20Machine_Performance_Validation_Report.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SME-5200%20Pallet%20(Fixture)%20Cleaning%20Machine_Performance_Validation_Report.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SME-5200_Pallet%20%EF%BC%88Fixture%EF%BC%89%20Cleaning%20Machine%20Installation_Protocol.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-007 [priority=30] (Validation reports are supporting documents and should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,public,SM-UV106CM,Automatic UV Curing,smthelp_machine_presentation,pdf,SM-UV106CM_Automatic_UV_Curing.pdf.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SM-UV106CM_Automatic_UV_Curing.pdf.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SM-UV106CM_Automatic_UV_Curing.pdf.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Mapping applied: exact_file_name=SM-UV106CM_Automatic_UV_Curing.pdf.pdf | High-confidence cleanup from exact file name,Default visibility: public,no,Verify and approve,,,,,
,internal_review,S-350C,S-350C,smthelp_poster,image,S-350C.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S-350C.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S-350C.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster.,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,S-JVF02,Quick Setup Guide,smthelp_poster,image,S-JVF02_Quick_Setup_Guide.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S-JVF02_Quick_Setup_Guide.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S-JVF02_Quick_Setup_Guide.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster.,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,S-MVF01,Reciprocating Belt Feeder 1,smthelp_poster,image,S-MVF01 Reciprocating Belt Feeder 1.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%201.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%201.png; https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%202.png; https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%203.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster. | Grouped 3 sample files under the same product_model + category,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,S7900,odd form inserter,smthelp_poster,image,S7900 odd form inserter.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S7900%20odd%20form%20inserter.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S7900%20odd%20form%20inserter.png; https://file.autoinsertion.com/public/SMThelp%20Poster/S7900%20odd%20form%20insertion%20machine.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,SFY03,Effortless Flexibility for SMT Lines with AGV,smthelp_poster,image,Effortless Flexibility for SMT Lines with SFY03 AGV.png,https://file.autoinsertion.com/public/SMThelp%20Poster/Effortless%20Flexibility%20for%20SMT%20Lines%20with%20SFY03%20AGV.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/Effortless%20Flexibility%20for%20SMT%20Lines%20with%20SFY03%20AGV.png; https://file.autoinsertion.com/public/SMThelp%20Poster/SFY03%20AGV%20Route%20Programming%20Technician's%20Guide.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,SME-5200,Installation Guide 00,smthelp_poster,image,SME-5200_Installation_Guide_00.png,https://file.autoinsertion.com/public/SMThelp%20Poster/SME-5200_Installation_Guide_00.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/SME-5200_Installation_Guide_00.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster.,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,UV106,High Performance EMS Curing Solution SM,smthelp_poster,image,High-Performance EMS Curing Solution SM-UV106.png,https://file.autoinsertion.com/public/SMThelp%20Poster/High-Performance%20EMS%20Curing%20Solution%20SM-UV106.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/High-Performance%20EMS%20Curing%20Solution%20SM-UV106.png; https://file.autoinsertion.com/public/SMThelp%20Poster/SM-UV106%20High-Performance%20EMS%20Curing%20Solution.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,public,S-168,automatic PCBA brush cleaning machine,southern_machinery_manual,pdf,S-168 automatic PCBA brush cleaning machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-168%20automatic%20PCBA%20brush%20cleaning%20machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-168%20automatic%20PCBA%20brush%20cleaning%20machine.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-300,Screen Printer introductions,southern_machinery_manual,pdf,S-300 Screen Printer introductions.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-300%20Screen%20Printer%20introductions.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-300%20Screen%20Printer%20introductions.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-6600,PC Reflow Oven,southern_machinery_manual,pdf,S-6600-PC Reflow  Oven.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-6600-PC%20Reflow%20%20Oven.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-6600-PC%20Reflow%20%20Oven.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-680A,automatic scrap tape cutting machine,southern_machinery_manual,pdf,S-680A automatic scrap tape cutting machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-680A%20automatic%20scrap%20tape%20cutting%20machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-680A%20automatic%20scrap%20tape%20cutting%20machine.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-700,Manual outside type vacuum sealing machine,southern_machinery_manual,manual,Manual -S-700 outside type vacuum sealing machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/Manual%20-S-700%20outside%20type%20vacuum%20sealing%20machine.pdf,,,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/Manual%20-S-700%20outside%20type%20vacuum%20sealing%20machine.pdf,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-JVF02,Product Manual VIBE feeder,southern_machinery_manual,manual,Product Manual S-JVF02 VIBE feeder.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/Product%20Manual%20S-JVF02%20VIBE%20feeder.pdf,,,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/Product%20Manual%20S-JVF02%20VIBE%20feeder.pdf; https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/Product-Manual-S-JVF02-VIBE-feeder.pdf,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual. | Grouped 2 sample files under the same product_model + category,Default visibility: public,no,Verify and approve,,,,,
,public,S-RF2001,Radial tape feeder Introduction & part list of JM tape feeder,southern_machinery_manual,pdf,S-RF2001 Radial tape feeder Introduction & part list of JM tape feeder.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-RF2001%20Radial%20tape%20feeder%20Introduction%20%26%20part%C2%A0list%C2%A0of%C2%A0JM%C2%A0tape%C2%A0feeder.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-RF2001%20Radial%20tape%20feeder%20Introduction%20%26%20part%C2%A0list%C2%A0of%C2%A0JM%C2%A0tape%C2%A0feeder.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-RO200,Reflow Oven,southern_machinery_manual,pdf,S-RO200 Reflow  Oven.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-RO200%20Reflow%20%20Oven.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-RO200%20Reflow%20%20Oven.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,S-WS450A,Wave solder installation and adjust using step,southern_machinery_manual,pdf,S-WS450A Wave solder installation and adjust using step.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-WS450A%20Wave%20solder%20installation%20and%20adjust%20using%20step.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/S-WS450A%20Wave%20solder%20installation%20and%20adjust%20using%20step.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,SBI330,Automatic Flipping Machine,southern_machinery_manual,pdf,SBI330 Aotumatic Flipping Machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/SBI330%20Aotumatic%20Flipping%20Machine.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/SBI330%20Aotumatic%20Flipping%20Machine.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual. | Mapping applied: exact_file_name=SBI330 Aotumatic Flipping Machine.pdf | Standardized product name,Default visibility: public,no,Verify and approve,,,,,
,public,SCN250,90° Turning Conveyor,southern_machinery_manual,pdf,SCN250 90° Turning Conveyor.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/SCN250%2090%C2%B0%20Turning%20Conveyor.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Manual/SCN250%2090%C2%B0%20Turning%20Conveyor.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Manual.,Default visibility: public,no,Verify and approve,,,,,
,public,AC510,PCBA Batch Type Cleaning machine Introduction 2023,southern_machinery_product,pdf,AC510 PCBA Batch Type Cleaning machine Introduction--2023.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/AC510%20PCBA%20Batch%20Type%20Cleaning%20machine%20Introduction--2023.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/AC510%20PCBA%20Batch%20Type%20Cleaning%20machine%20Introduction--2023.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,ADL100,X Ray SMD Counter,southern_machinery_product,pdf,ADL100_X-Ray_SMD_Counter.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/ADL100_X-Ray_SMD_Counter.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/ADL100_X-Ray_SMD_Counter.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,BC320,Stencil Cleaning Machine Introduction 2023,southern_machinery_product,pdf,BC320 Stencil Cleaning Machine Introduction 2023.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/BC320%20Stencil%20Cleaning%20Machine%20Introduction%202023.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/BC320%20Stencil%20Cleaning%20Machine%20Introduction%202023.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,BF200L,LED Lens Vibratory Bowl Feeder,southern_machinery_product,pdf,BF200L LED Lens Vibratory Bowl Feeder.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/BF200L%20LED%20Lens%20Vibratory%20Bowl%20Feeder.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/BF200L%20LED%20Lens%20Vibratory%20Bowl%20Feeder.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S-3516,computer wire stripping machine Introduction,southern_machinery_product,pdf,S-3516 computer wire stripping machine Introduction.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/S-3516%20computer%20wire%20stripping%20machine/S-3516%20computer%20wire%20stripping%20machine%20Introduction.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/S-3516%20computer%20wire%20stripping%20machine/S-3516%20computer%20wire%20stripping%20machine%20Introduction.pdf,,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/S-3516%20computer%20wire%20stripping%20machine/Instructions%20for%20S-3516%20computer%20wire%20stripping%20machine.pdf,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product/S-3516 computer wire stripping machine. | Grouped 2 sample files under the same product_model + category,Default visibility: public,no,Verify and approve,,,,,
,public,S-400T,Automatic Laser Marking Machine,southern_machinery_product,pdf,Automatic Laser Marking Machine S-400T.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Automatic%20Laser%20Marking%20Machine%20S-400T.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Automatic%20Laser%20Marking%20Machine%20S-400T.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S-5006,Auto lead cutter machine,southern_machinery_product,pdf,Auto lead cutter machine S-5006.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Auto%C2%A0lead%C2%A0cutter%C2%A0machine%C2%A0S-5006.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Auto%C2%A0lead%C2%A0cutter%C2%A0machine%C2%A0S-5006.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S-6600,Lead Free Reflow Oven,southern_machinery_product,pdf,Lead-Free Reflow Oven S-6600.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Lead-Free%20Reflow%20Oven%20S-6600.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Lead-Free%20Reflow%20Oven%20S-6600.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S-8800,Lead Free 8 +2 zones Reflow Oven,southern_machinery_product,pdf,Lead-Free 8 +2 zones Reflow Oven S-8800.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Lead-Free%208%20%2B2%20zones%20Reflow%20Oven%20S-8800.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Lead-Free%208%20%2B2%20zones%20Reflow%20Oven%20S-8800.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S-AO600C,AOI machine,southern_machinery_product,pdf,AOI machine S-AO600C.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/AOI%20machine%20S-AO600C.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/AOI%20machine%20S-AO600C.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S300AS,Horizontal version Desktop PCB Router Separator,southern_machinery_product,pdf,Horizontal version S300AS Desktop PCB Router Separator.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Horizontal%20version%20S300AS%20Desktop%20PCB%20Router%20Separator.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Horizontal%20version%20S300AS%20Desktop%20PCB%20Router%20Separator.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,S-4000,AXIAL INSERTER,southern_machinery_product,pdf,AXIAL INSERTER S4000.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/AXIAL%20INSERTER%20S4000.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/AXIAL%20INSERTER%20S4000.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product. | Mapping applied: filename_contains=S4000 | Standardized model format,Default visibility: public,no,Verify and approve,,,,,
,public,SAF1001,Axial tape feeder,southern_machinery_product,pdf,Axial tape feeder SAF1001.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Axial%20tape%20feeder%20SAF1001.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Axial%20tape%20feeder%20SAF1001.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,public,SLF100X,Label Feeder,southern_machinery_product,pdf,Label Feeder-SLF100X.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Label%20Feeder-SLF100X.pdf,https://file.autoinsertion.com/public/Southern%20Machinery%20Product/Label%20Feeder-SLF100X.pdf,,,To be confirmed from official document,Sample collected from public directory /Southern Machinery Product.,Default visibility: public,no,Verify and approve,,,,,
,hidden,unknown_model,THT Knowledge Chatbots,root,document,tool_THT Knowledge Chatbots.html,https://file.autoinsertion.com/public/tool_THT%20Knowledge%20Chatbots.html,,,https://file.autoinsertion.com/public/tool_THT%20Knowledge%20Chatbots.html,To be confirmed from official document,Sample collected from public directory /; product model not confidently detected. | Needs manual review: product model not detected | Mapping applied: exact_file_name=tool_THT Knowledge Chatbots.html | Needs manual confirmation,hidden: VIS-001 [priority=100] (Internal chatbot or tooling page should not be shown in the customer-facing asset center),yes,Confirm product model,,,,,
,internal_review,unknown_model,0.8M Conveyor with Cooling Fan 3D,smt_machine_3d_drawing,pdf,0.8M conveyor w cooling fan 3D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/0.8M%20conveyor%20w%20cooling%20fan%203D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/0.8M%20conveyor%20w%20cooling%20fan%203D.PDF,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing; product model not confidently detected. | Needs manual review: product model not detected | Mapping applied: exact_file_name=0.8M conveyor w cooling fan 3D.PDF | Needs manual confirmation,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Confirm product model,,,,,
,internal_review,unknown_model,2 Side Dual Table and Head Screw Drive 3D,smt_machine_3d_drawing,pdf,2 Side Dual Table & Head Screw Drive 3D .pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/2%20Side%20Dual%20Table%20%26%20Head%20Screw%20Drive%203D%20.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/2%20Side%20Dual%20Table%20%26%20Head%20Screw%20Drive%203D%20.pdf,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing; product model not confidently detected. | Needs manual review: product model not detected | Mapping applied: exact_file_name=2 Side Dual Table & Head Screw Drive 3D .pdf | Needs manual confirmation,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Confirm product model,,,,,
